region,zone,circle,division,week1_total_outages,week1_duration_mins,week1_outage_hrs_per_feeder_day,week1_supply_hrs_per_feeder_day,week2_total_outages,week2_duration_mins,week2_outage_hrs_per_feeder_day,week2_supply_hrs_per_feeder_day,week3_total_outages,week3_duration_mins,week3_outage_hrs_per_feeder_day,week3_supply_hrs_per_feeder_day,week4_total_outages,week4_duration_mins,week4_outage_hrs_per_feeder_day,week4_supply_hrs_per_feeder_day,week5_total_outages,week5_duration_mins,week5_outage_hrs_per_feeder_day,week5_supply_hrs_per_feeder_day,collected_at,fetch_month,week1_outage_hrs_per_feeder_day_decimal,week2_outage_hrs_per_feeder_day_decimal,week3_outage_hrs_per_feeder_day_decimal,week4_outage_hrs_per_feeder_day_decimal,week5_outage_hrs_per_feeder_day_decimal,week1_supply_hrs_per_feeder_day_decimal,week2_supply_hrs_per_feeder_day_decimal,week3_supply_hrs_per_feeder_day_decimal,week4_supply_hrs_per_feeder_day_decimal,week5_supply_hrs_per_feeder_day_decimal,processed_at
CH. SAMBHAJINAGAR REGION,CH. SAMBHAJINAGAR ZONE,CH. SAMBHAJINAGAR (U) CIRCLE,CH. SAMBHAJINAGAR(U) I DIVISION,715,18961,00:17,23:43,757,17140,00:15,23:45,724,15358,00:14,23:46,771,21080,00:19,23:41,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.28,0.25,0.23,0.32,,23.72,23.75,23.77,23.68,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,CH. SAMBHAJINAGAR ZONE,CH. SAMBHAJINAGAR (U) CIRCLE,CH. SAMBHAJINAGAR(U)II.DIVISION,533,20122,00:35,23:25,461,12773,00:22,23:38,594,12960,00:22,23:38,421,7592,00:13,23:47,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.58,0.37,0.37,0.22,,23.42,23.63,23.63,23.78,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,CH. SAMBHAJINAGAR ZONE,CH. SAMBHAJINAGAR CIRCLE,CH. SAMBHAJINAGAR(R) I DIVN.,1180,47419,00:40,23:20,994,36865,00:31,23:29,1111,46419,00:39,23:21,1317,49273,00:41,23:19,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.67,0.52,0.65,0.68,,23.33,23.48,23.35,23.32,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,CH. SAMBHAJINAGAR ZONE,CH. SAMBHAJINAGAR CIRCLE,CH. SAMBHAJINAGAR(R) II DIVN.,639,23924,00:36,23:24,790,30103,00:45,23:15,637,26784,00:40,23:20,699,31576,00:47,23:13,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.6,0.75,0.67,0.78,,23.4,23.25,23.33,23.22,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,CH. SAMBHAJINAGAR ZONE,CH. SAMBHAJINAGAR CIRCLE,KANNAD DIVISION,394,15090,00:19,23:41,541,17537,00:23,23:37,413,14163,00:18,23:42,569,19416,00:25,23:35,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.32,0.38,0.3,0.42,,23.68,23.62,23.7,23.58,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,CH. SAMBHAJINAGAR ZONE,CH. SAMBHAJINAGAR CIRCLE,SILLOD DIVISION,730,25270,00:55,23:05,782,20539,00:44,23:16,830,28407,01:01,22:59,864,22176,00:48,23:12,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.92,0.73,1.02,0.8,,23.08,23.27,22.98,23.2,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,CH. SAMBHAJINAGAR ZONE,JALNA CIRCLE,JALNA DIVISION I,1945,83168,01:07,22:53,1947,80563,01:05,22:55,2096,78867,01:03,22:57,1964,69210,00:56,23:04,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,1.12,1.08,1.05,0.93,,22.88,22.92,22.95,23.07,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,CH. SAMBHAJINAGAR ZONE,JALNA CIRCLE,JALNA DIVISION II,318,26184,00:25,23:35,283,18512,00:18,23:42,312,20923,00:20,23:40,298,16453,00:16,23:44,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.42,0.3,0.33,0.27,,23.58,23.7,23.67,23.73,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,"LATUR ZONE, LATUR",BEED CIRCLE,AMBEJOGAI DIVISION,802,55329,00:42,23:18,827,60263,00:46,23:14,793,55785,00:42,23:18,871,50899,00:38,23:22,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.7,0.77,0.7,0.63,,23.3,23.23,23.3,23.37,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,"LATUR ZONE, LATUR",BEED CIRCLE,BEED DIVISION,640,40304,00:24,23:36,629,45127,00:27,23:33,658,40173,00:24,23:36,668,35467,00:21,23:39,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.4,0.45,0.4,0.35,,23.6,23.55,23.6,23.65,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,"LATUR ZONE, LATUR",DHARASHIV CIRCLE,DHARASHIV DIVISION,782,35131,00:30,23:30,549,27153,00:23,23:37,444,19683,00:17,23:43,806,32988,00:28,23:32,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.5,0.38,0.28,0.47,,23.5,23.62,23.72,23.53,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,"LATUR ZONE, LATUR",DHARASHIV CIRCLE,TULJAPUR DIVISION,395,24614,00:33,23:27,373,26186,00:35,23:25,400,22259,00:30,23:30,464,25647,00:35,23:25,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.55,0.58,0.5,0.58,,23.45,23.42,23.5,23.42,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,"LATUR ZONE, LATUR",LATUR CIRCLE,LATUR DIVISION,680,28088,00:23,23:37,718,31614,00:26,23:34,569,22428,00:19,23:41,725,22891,00:19,23:41,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.38,0.43,0.32,0.32,,23.62,23.57,23.68,23.68,,2025-07-24T19:11:04.849141+00:00
CH. SAMBHAJINAGAR REGION,"LATUR ZONE, LATUR",LATUR CIRCLE,NILANGA DIVISION,256,24221,00:42,23:18,353,18139,00:31,23:29,277,19780,00:34,23:26,301,22009,00:38,23:22,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.7,0.52,0.57,0.63,,23.3,23.48,23.43,23.37,,2025-07-24T19:11:04.849141+00:00
